scenario_id,scenario_title,hardware,workload,M,N,K,actual_cycles,tiledataflow_sim_cycles,tileflow_sim_cycles,llmcompass_cycles,tiledataflow_mape_percent,tileflow_mape_percent,llmcompass_mape_percent
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,1024,2048,63502,61812,98745,77967,2.661334,55.499039,22.778810
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,1536,512,30769,29818,26721,30211,3.090773,13.156099,1.813514
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,1536,1024,41737,40770,51297,47547,2.316889,22.905336,13.920502
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,1536,1536,53000,51722,75873,64883,2.411321,43.156604,22.420755
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,1536,2048,64401,62674,100449,82219,2.681635,55.974286,27.667272
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,2048,512,31177,31057,31878,34462,0.384899,2.248452,10.536614
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,2048,1024,42861,42385,60399,51798,1.110567,40.918317,20.851123
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,2048,1536,54195,53713,88920,69134,0.889381,64.074177,27.565274
h100_fused_gemm,H100 Fused GEMM + SiLU,H100,Fused GEMM + SiLU,2048,2048,2048,65392,65041,117441,86470,0.536763,79.595363,32.233301
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,512,512,11477,11704,6144,13034,1.977869,46.466847,13.566263
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,512,1024,17675,17972,12288,25914,1.680339,30.478076,46.613861
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,512,1536,23892,24240,18432,38794,1.456554,22.852838,62.372342
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,512,2048,30176,30508,24576,51674,1.100212,18.557794,71.242047
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,1024,512,12031,11707,6144,13206,2.693043,48.931926,9.766437
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,1024,1024,18229,17975,12288,26086,1.393384,32.590927,43.101651
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,1024,1536,24501,24243,18432,38966,1.053018,24.770418,59.038407
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,1024,2048,30639,30511,24576,51846,0.417768,19.788505,69.215705
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,1536,512,13741,11733,6144,13378,14.613201,55.287097,2.641729
h100_fp8_gemm,H100 FP8 GEMM,H100,FP8 GEMM,512,1536,1024,20231,18025,12288,26258,10.904058,39.261529,29.790915
